time,target,value
DEF,1,StationToStationAgent/0/implFeed
DEF,2,StationToStationAgent/0/distanceToTarget
DEF,3,StationToStationAgent/0/force
DEF,4,StationToStationAgent/0/segmentId
DEF,5,StationToStationAgent/0/velocity
DEF,6,StationToStationAgent/0/velocity(target)
DEF,7,StationToStationAgent/0/debug
154,1,"Plan exhausted"
154,2,nan
154,3,-2000000
154,4,19
154,6,0
154,5,57.255283
154,7,0.09300246
155,1,"Set goal: station Ferney-Voltaire, 951 m away"
155,2,874.8075
155,3,1000000
155,4,19
155,6,61.236526
155,5,55.255283
155,7,0.35221195
156,2,819.05225
156,3,215673.83
156,4,19
156,6,57.333656
156,5,56.255287
156,7,0.60911757
157,2,762.6891
157,3,-616545.1
157,4,19
157,6,53.388237
157,5,56.470963
157,7,0.86882395
158,2,782.96564
158,3,-209365.08
158,4,20
158,6,54.807594
158,5,55.85442
158,7,0.21048127
159,2,727.2159
159,3,-947988.9
159,4,20
159,6,50.905113
159,5,55.645058
159,7,0.63419265
160,2,672.04486
160,3,-1530784.6
160,4,21
160,6,47.04314
160,5,54.697063
160,7,0.039692506
161,2,618.1132
161,3,-1979669.2
161,4,21
161,6,43.267925
161,5,53.16627
161,7,0.34376532
162,2,565.93677
162,3,-2000000
162,4,21
162,6,39.615574
162,5,51.1866
162,7,0.6379419
163,2,515.7502
163,3,-2000000
163,4,21
163,6,36.102512
163,5,49.186596
163,7,0.92089957
164,2,467.56357
164,3,-2000000
164,4,22
164,6,32.72945
164,5,47.186596
164,7,0.32753298
165,2,421.37698
165,3,-2000000
165,4,22
165,6,29.49639
165,5,45.186596
165,7,0.7704183
166,2,377.19037
166,3,-2000000
166,4,23
166,6,26.403326
166,5,43.186596
166,7,0.1946419
167,2,335.00378
167,3,-2000000
167,4,23
167,6,23.450266
167,5,41.186596
167,7,0.60024714
168,2,294.81717
168,3,-2000000
168,4,23
168,6,20.637201
168,5,39.186596
168,7,0.9866233
169,2,256.63055
169,3,-2000000
169,4,24
169,6,17.964138
169,5,37.186596
169,7,0.5322282
170,2,220.44392
170,3,-2000000
170,4,25
170,6,15.431075
170,5,35.186596
170,7,0.04774707
171,2,186.25734
171,3,-2000000
171,4,25
171,6,13.038013
171,5,33.186592
171,7,0.47200462
172,2,154.07074
172,3,-2000000
172,4,25
172,6,10.784952
172,5,31.18659
172,7,0.871442
173,2,123.88414
173,3,-2000000
173,4,26
173,6,8.67189
173,5,29.18659
173,7,0.21934153
174,2,95.69755
174,3,-2000000
174,4,26
174,6,6.698828
174,5,27.18659
174,7,0.5311568
175,2,69.510956
175,3,-2000000
175,4,26
175,6,4.865767
175,5,25.18659
175,7,0.820847
